189 257  0  245  2074  0
257 448  0  245  2065  0
670 892  0  246  1930  0
892 781  0  246  1840  0
781 549  0  246  1949  0
549 670  0  246  386  0
2041 2045  0  247  732  0
2045 2126  0  247  576  0
2126 2023  0  247  693  0
894 1112  0  248  1837  0
922 697  0  248  1960  0
697 894  0  248  1832  0
611 475  0  249  314  0
475 730  0  249  395  0
1459 1378  0  250  477  0
1378 1255  0  250  296  0
1255 1478  0  250  1768  0
1478 1459  0  250  1788  0
736 358  0  251  319  0
358 513  0  251  284  0
108 109  1  252  -1  0
109 277  0  252  265  0
338 4  0  253  2086  0
4 5  1  253  -1  0
5 276  0  253  278  0
2096 2119  0  254  260  0
2187 2188  0  254  306  0
553 778  0  255  1914  0
778 580  0  255  1904  0
580 547  0  255  1933  0
547 553  0  255  1932  0
609 506  0  256  275  0
506 583  0  256  319  0
792 722  0  257  2061  0
722 903  0  257  361  0
903 704  0  257  2157  0
787 999  0  258  1791  0
999 830  0  258  2009  0
830 665  0  258  1998  0
665 787  0  258  382  0
1856 2043  0  259  1780  0
1998 1945  0  259  545  0
1945 1856  0  259  269  0
1913 2044  0  260  261  0
2044 2119  0  260  1781  0
2096 1913  0  260  595  0
1859 2044  0  261  562  0
1913 1844  0  261  1735  0
1844 1859  0  261  584  0
558 907  0  262  1702  0
832 223  0  262  1778  0
223 558  0  262  2176  0
2024 2133  0  263  1710  0
2133 2132  0  263  302  0
2132 2118  0  263  739  0
1066 1148  0  264  312  0
1148 1068  0  264  390  0
1068 950  0  264  383  0
109 110  1  265  -1  0
110 374  0  265  280  0
374 277  0  265  2067  0
729 619  0  266  333  0
619 509  0  266  358  0
509 610  0  266  424  0
610 729  0  266  423  0
725 588  0  267  340  0
588 507  0  267  395  0
588 952  0  268  340  0
952 848  0  268  346  0
730 588  0  268  395  0
1769 1856  0  269  494  0
1945 1635  0  269  577  0
1635 1769  0  269  487  0
512 585  0  270  354  0
585 706  0  270  343  0
1043 1070  0  271  322  0
1070 840  0  271  1741  0
840 953  0  271  333  0
953 1043  0  271  391  0
674 496  0  272  378  0
496 784  0  272  501  0
784 894  0  272  1837  0
894 674  0  272  1832  0
779 1004  0  273  1959  0
1004 820  0  273  353  0
820 676  0  273  1863  0
676 779  0  273  309  0
618 295  0  274  429  0
295 258  0  274  446  0
258 617  0  274  285  0
238 379  0  275  385  0
379 506  0  275  374  0
783 994  0  276  1862  0
896 579  0  276  1963  0
579 783  0  276  359  0
1375 1247  0  277  329  0
1145 1171  0  277  448  0
1171 1375  0  277  339  0
