703 454  0  35  730  0
67 36  0  35  37  0
36 703  0  35  997  0
815 709  1  36  -1  0
709 483  0  36  38  0
67 338  0  37  734  0
338 758  0  37  98  0
758 36  0  37  39  0
709 1218  1  38  -1  0
1218 781  0  38  40  0
781 483  0  38  71  0
870 36  0  39  997  0
758 726  0  39  59  0
726 870  0  39  135  0
1218 561  1  40  -1  0
561 1149  0  40  41  0
1149 781  0  40  78  0
561 398  1  41  -1  0
398 1091  0  41  76  0
1091 1149  0  41  43  0
1192 558  0  42  1128  0
558 870  0  42  997  0
870 851  0  42  135  0
851 1192  0  42  81  0
1091 1135  0  43  44  0
1135 346  0  43  84  0
346 1149  0  43  78  0
1091 403  0  44  76  0
403 1152  0  44  210  0
1152 1135  0  44  46  0
1244 81  0  45  367  0
81 253  0  45  904  0
253 100  0  45  890  0
100 1244  0  45  47  0
1152 1255  0  46  327  0
1255 37  0  46  48  0
37 1135  0  46  84  0
100 701  0  47  366  0
701 484  0  47  1128  0
484 1244  0  47  50  0
1255 1075  0  48  52  0
1075 712  0  48  72  0
712 37  0  48  73  0
1450 1432  0  49  1445  0
1432 1455  0  49  1484  0
1455 1450  0  49  87  0
1251 246  0  50  362  0
246 1244  0  50  367  0
484 1251  0  50  891  0
213 1075  0  51  72  0
1075 222  0  51  52  0
222 227  0  51  1248  0
227 213  0  51  65  0
207 222  0  52  1171  0
1255 207  0  52  327  0
723 761  0  53  62  0
1353 1413  0  54  1503  0
1413 1460  0  54  1504  0
1460 1353  0  54  1314  0
1458 1445  0  55  1563  0
1445 1459  0  55  1481  0
1459 1458  0  55  61  0
761 269  0  56  62  0
269 12  2  56  -1  0
251 1172  0  57  110  0
1172 655  0  57  145  0
655 240  0  57  65  0
240 251  0  57  1330  0
1397 1443  0  58  1558  0
1443 1459  0  58  61  0
1459 1397  0  58  1565  0
242 726  0  59  64  0
758 506  0  59  98  0
506 242  0  59  970  0
271 697  0  60  63  0
697 857  0  60  112  0
857 261  0  60  110  0
261 271  0  60  1328  0
1443 1458  0  61  1561  0
723 286  0  62  67  0
286 269  2  62  -1  0
272 324  0  63  108  0
324 697  0  63  153  0
271 272  0  63  1235  0
242 891  0  64  686  0
891 502  0  64  683  0
502 726  0  64  135  0
655 213  0  65  70  0
227 240  0  65  1326  0
1378 1426  0  66  1435  0
1426 1460  0  66  1433  0
1460 1378  0  66  1529  0
104 286  2  67  -1  0
1434 1441  0  68  1466  0
1441 1457  0  68  1470  0
1457 1434  0  68  1465  0
493 414  0  69  867  0
738 493  0  69  204  0
655 961  0  70  145  0
961 999  0  70  75  0
999 213  0  70  72  0
781 444  0  71  78  0
332 37  0  73  84  0
701 547  0  74  366  0
547 703  0  74  730  0
703 558  0  74  997  0
558 701  0  74  1128  0
